1,6,1585.8,681.2,93.5,227.6,-1,-1,-1,-1
1,2,1472.3,643.7,71.1,201.7,-1,-1,-1,-1
1,4,762.8,691.0,71.9,205.5,-1,-1,-1,-1
1,3,1168.7,609.7,61.3,192.0,-1,-1,-1,-1
1,8,1660.5,830.3,84.0,249.0,-1,-1,-1,-1
1,1,666.9,685.3,99.0,213.7,-1,-1,-1,-1
1,5,198.8,816.2,112.6,262.6,-1,-1,-1,-1
2,2,1472.4,643.5,68.2,201.2,-1,-1,-1,-1
2,5,201.3,814.2,112.6,265.8,-1,-1,-1,-1
2,1,666.2,686.9,97.9,214.5,-1,-1,-1,-1
2,4,761.3,691.9,74.4,204.1,-1,-1,-1,-1
2,8,1655.4,829.1,97.4,248.5,-1,-1,-1,-1
2,6,1583.4,686.3,90.8,219.1,-1,-1,-1,-1
2,3,1171.1,611.6,59.2,190.9,-1,-1,-1,-1
3,3,1173.2,614.0,58.2,190.9,-1,-1,-1,-1
3,2,1472.3,642.6,65.0,201.1,-1,-1,-1,-1
3,5,202.9,813.9,114.4,265.9,-1,-1,-1,-1
3,6,1582.8,684.0,94.0,224.7,-1,-1,-1,-1
3,1,666.7,689.0,95.8,214.1,-1,-1,-1,-1
3,4,760.2,693.6,78.1,203.1,-1,-1,-1,-1
3,8,1656.0,831.8,100.1,247.9,-1,-1,-1,-1
4,5,205.3,813.9,114.5,266.1,-1,-1,-1,-1
4,8,1660.3,838.9,98.0,240.8,-1,-1,-1,-1
4,1,668.0,689.9,93.6,216.2,-1,-1,-1,-1
4,6,1584.3,687.7,91.4,222.7,-1,-1,-1,-1
4,4,759.5,694.6,81.8,202.6,-1,-1,-1,-1
4,10,959.2,610.1,63.6,195.5,-1,-1,-1,-1
4,3,1175.6,616.1,58.9,192.9,-1,-1,-1,-1
4,2,1472.1,642.6,60.3,199.0,-1,-1,-1,-1
5,6,1583.3,690.6,87.7,218.8,-1,-1,-1,-1
5,2,1466.7,642.8,60.7,199.1,-1,-1,-1,-1
5,10,961.1,613.0,61.8,193.6,-1,-1,-1,-1
5,14,1033.4,603.0,81.8,199.2,-1,-1,-1,-1
5,11,869.3,529.4,50.6,160.8,-1,-1,-1,-1
5,12,1635.2,674.6,83.9,198.0,-1,-1,-1,-1
5,4,757.1,697.1,72.9,199.9,-1,-1,-1,-1
5,1,666.1,689.8,93.6,218.4,-1,-1,-1,-1
5,5,206.6,814.1,115.9,265.9,-1,-1,-1,-1
5,8,1662.4,840.8,96.9,238.8,-1,-1,-1,-1
5,3,1176.9,618.0,62.9,191.4,-1,-1,-1,-1
6,3,1179.3,618.2,55.9,193.1,-1,-1,-1,-1
6,1,665.9,690.0,91.9,217.2,-1,-1,-1,-1
6,14,1035.1,604.5,79.6,201.3,-1,-1,-1,-1
6,8,1666.8,839.5,94.0,240.4,-1,-1,-1,-1
6,6,1582.4,690.5,81.8,215.2,-1,-1,-1,-1
6,10,962.8,613.5,62.6,193.7,-1,-1,-1,-1
6,5,209.3,814.4,115.6,265.6,-1,-1,-1,-1
6,11,869.2,531.9,51.1,160.0,-1,-1,-1,-1
